answer,pack,dncahPack
...it is unclear.,CAH Absurd Box Expansion,CAH & Expansions
…then the penis is inserted into the vagina.,WTF Did You Say?!?,CAH & Expansions
"""Hello Mister!""",JadedAid: A Card Game to Save Humanitarians,Humanitarian
"""I want to do it by myseeeeeeelf!""",KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
"""Jerk him, Tahiti!

Jerk him off""",Dick,CAH & Expansions
"""Partners!

I must have Partners!""",Dick,CAH & Expansions
"""Stop playing with your penis!""",KinderPerfect: A Timeout For Parents (Kickstarter Set),Parenthood
"""Trump Nude"" internet searches.",Humanity Hates Trump: Expansion Pack 1,Elections & Donald Trump
"""Tweeting.""",CAH Base Set,CAH & Expansions
"""Worshipping"" the saints.",The Catholic Card Game: Five Deck Expansion Pack,Catholic
“Accidentally” sticking your finger in your ass while wiping.,Words Against Morality: Volume 3,CAH & Expansions
“Christian Domestic Discipline 101” from Amazon.com.*,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
"“Exiting, pursued by a bear.”",Carbs of the Huge Manatee - Kink Expansion 1,Dirty
“I'm off my meds so I may be a bit weird.”,Carbs of the Huge Manatee - Online Dating Expansion 1,Dating
“Intimacy issues.”,Cads About Matrimony,Matrimony
"“Knock Knock, Motherfucker.”",Carbs of the Huge Manatee: General Expansion 3,CAH & Expansions
"“Oh dear God, coffee!”",Carbs of the Huge Manatee: General Expansion 2,CAH & Expansions
“Platonic” cuddle buddies.,Carbs of the Huge Manatee: Dance Expansion 1,Dating
“Somebody That I Used To Know” covered by Sting.,Carbs of the Huge Manatee: General Expansion 1,CAH & Expansions
"“Too much bush,” whatever that is.",Words Against Morality: Volume 4,CAH & Expansions
"“Useless, yerk-toting, Frisbee-chucking cheeba-monkeys”",Carbs of the Huge Manatee: General Expansion 2,CAH & Expansions
“Vegan-leather” bondage gear.,Carbs of the Huge Manatee - Kink Expansion 1,Dirty
“Working” from home.,Carbs of the Huge Manatee: General Expansion 3,CAH & Expansions
(1/2 * your age) + 7,Carbs of the Huge Manatee: General Expansion 3,CAH & Expansions
(An) eggplant emoji.,"Humanity Hates the Holidays ""Love"" Edition",CAH & Expansions
(I am doing Kegels right now.),CAH Base Set,CAH & Expansions
(Sleeping Beauty's curse) A magical prick,Rotten Apples: The Tasteless Adult Party Game,CAH & Expansions
(wub)(wub)(wub),Carbs of the Huge Manatee: Dance Expansion 1,Dating
[Chewbacca Noise].,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Dirty
[Player to your left]'s reproductive organ.,Cards With No Sexuality,CAH & Expansions
/Piss Christ/.,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Dirty
#Awesome,Cards for the Masses,CAH & Expansions
#blackfridaymatters,Humanity Hates The Holidays,Holidays
#BlackLivesMatter movement.,Humanity Hates Trump: Base Set,Elections & Donald Trump
#BlackLivesMatter rally.,WTF Did You Say?!?,CAH & Expansions
#BlackLivesMatter., 2016 Election Game ,Elections & Donald Trump
#diaperfail,Cads About Maternity - A game for bad mommies,Parenthood
#fearvokallchicks.,Hilarious!,CAH & Expansions
#Hashtag,Kids Against Maturity,Kids
#MeToo,"Clams Attempt Harmonica, Volume 1",CAH & Expansions
"#occupy or #octopi, whichever",Conspiracy Theory,Conspiracy
#YOLO.,Cakes Athirst Hilarity Volume 4,CAH & Expansions
|Getting so angry that you pop a boner.,Hilarious!,CAH & Expansions
|Oral sex that tastes like urine.,Hilarious!,CAH & Expansions
∩ (O_O) ∩,WTF Did You Say?!?,CAH & Expansions
$1.25 per day,JadedAid: A Card Game to Save Humanitarians,Humanitarian
$10 bills defaced with anarchist propaganda.,Cads Against Adulting,Adulting
"$10,000 worth of silica gel.",CAH Desert Bus For Hope Pack,CAH & Expansions
$13 worth of Taco Bell,The Game Without Decency,CAH & Expansions
$15 minimum wage., 2016 Election Game ,Elections & Donald Trump
"$16,000 in cash, a kilo of hashish, and eight belly dancers.",Cads About Matrimony Poly Pack,Matrimony
$2 beer pitcher night at the base bowling alley.,Charlie Foxtrot,Military
$20 Tinnies,Kiwis Against Morality,New Zealand
"$20,000 trip from Honduras to Texas hiding in the back of the troka.",Bad Hombres Against Fake News Pack 1,Elections & Donald Trump
$200/hour,Skewered And Roasted,CAH & Expansions
$300 worth of vanilla yogurt.,WTF Did You Say?!?,CAH & Expansions
$68 in pennies.,Cakes Athirst Hilarity Volume 4,CAH & Expansions
1 weird trick that will make everyone around you ejaculate,Evil Apples,CAH & Expansions
1.2 pounds of shit hitting a fan.,"Crows Adopt Vulgarity, Vol. 1",CAH & Expansions
10 bucks,Kiwis Against Morality,New Zealand
10 feet of snow in 2 days.,Blurbs Against Buffalo,Buffalo
10 football players with erections barrelling towards you at full speed.,CAH Green Box Expansion,CAH & Expansions
10 Incredible Facts About the Anus.,CAH Blue Box Expansion,CAH & Expansions
10 minute sof decent sex.,Cads Against Adulting,Adulting
10 pounds of crap in a 5-pound bag,The Game Without Decency,CAH & Expansions
"10,000 shrieking teenage girls.",CAH Green Box Expansion,CAH & Expansions
"10,000 Syrian refugees.",CAH Base Set,CAH & Expansions
"10,800 barrels of beer",Dick,CAH & Expansions
100 beachfront acres of shimmering white privilege.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
100 foreskins in a bucket,JadedAid: A Card Game to Save Humanitarians,Humanitarian
100 percent Chinese ties.,Trumped UpCards: The World's Biggest Deck*,Elections & Donald Trump
